"Protein Group","Top","Accession","-10LgP","Coverage(%)","Coverage(%) DDA_300Smeg_D_2","Coverage(%) DDA_300Smeg_D_1","Coverage(%) DDA_300Smeg_D_3","#Peptides","Area DDA_300Smeg_D_2","Area DDA_300Smeg_D_1","Area DDA_300Smeg_D_3","#Unique","#Spec DDA_300Smeg_D_2","#Spec DDA_300Smeg_D_1","#Spec DDA_300Smeg_D_3","PTM","Average Mass","Description"
1067,true,"A0QPJ0|A0QPJ0_MYCS2",305.50735,51.55,38.51,51.55,51.55,7,49810.535,44351.883,50154.203,7,13.0,21.0,17.0,"",16892.176,"NADH-fmn oxidoreductase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_0415 PE=3 SV=1"
2173,true,"A0A653FKX4|A0A653FKX4_MYCSM",150.53365,10.98,10.98,10.98,10.98,2,1095.2616,10452.986,9040.816,2,6.0,6.0,9.0,"",17132.129,"Secreted protein OS=Mycolicibacterium smegmatis OX=1772 GN=BIN_B_04706 PE=4 SV=1"
2038,false,"I7G9S9|I7G9S9_MYCS2",158.04512,14.67,14.67,14.67,8.67,2,8009.7305,9427.811,4044.8538,2,6.0,5.0,3.0,"Carbamidomethylation; Oxidation (M)",17118.266,"Putative secreted protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_3413 PE=4 SV=1"
2155,false,"L0IS02|L0IS02_9MYCO",94.662125,2.81,0.00,0.00,2.81,1,,,,1,,,1.0,"",42520.848,"histidine kinase OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_00546 PE=4 SV=1"
1667,true,"I7F5N8|I7F5N8_MYCS2",234.16515,15.29,15.29,15.29,15.29,4,17645.033,17757.57,17513.555,4,11.0,14.0,11.0,"Carbamidomethylation",26511.725,"Mycothiol-dependent maleylpyruvate isomerase metal-binding domain-containing protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_0429 PE=4 SV=1"
415,true,"I7FX10|I7FX10_MYCS2",327.01425,35.20,27.60,23.80,32.20,14,33504.062,24765.287,31659.504,14,25.0,25.0,24.0,"Oxidation (M)",52639.28,"Aminopeptidase Y Metallo peptidase MEROPS family M28A OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_0787 PE=3 SV=1"
1231,true,"I7F874|I7F874_MYCS2",192.30357,18.89,16.11,18.89,16.11,6,8469.603,8022.132,11936.275,6,12.0,11.0,9.0,"Carbamidomethylation; Oxidation (M)",38965.695,"Ribonucleotide ABC transporter ATP-binding protein Mkl OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mkl PE=4 SV=1"
1830,true,"I7G5A7|I7G5A7_MYCS2",196.40349,21.70,21.70,12.77,12.77,3,5138.0596,4735.6123,3184.828,3,4.0,4.0,8.0,"Carbamidomethylation; Oxidation (M)",23876.312,"Enoyl-CoA hydratase EchA3 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=echA3 PE=4 SV=1"
489,false,"A0A2U9PN77|A0A2U9PN77_MYCSE",362.45108,44.95,38.94,37.50,38.94,13,26773.457,28387.793,27445.217,13,25.0,24.0,21.0,"Oxidation (M)",44114.04,"Tetratricopeptide repeat domain protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_022480 PE=4 SV=1"
999,false,"L0INR4|L0INR4_9MYCO",101.08776,4.60,4.60,4.60,4.60,1,,1651.4927,876.4104,1,1.0,1.0,1.0,"",32710.365,"1-phosphofructokinase OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_00039 PE=3 SV=1"
846,true,"A0A8B4RA53|A0A8B4RA53_MYCSM",325.7882,46.81,42.98,42.98,31.49,9,19201.89,24989.764,15729.343,9,17.0,21.0,16.0,"",24771.156,"Enoyl-CoA hydratase EchA17 OS=Mycolicibacterium smegmatis OX=1772 GN=echA17 PE=4 SV=1"
1022,true,"A0A653FGZ9|A0A653FGZ9_MYCSM",210.78137,35.69,12.16,31.37,20.78,8,1002.88165,1442.5718,662.07886,8,2.0,9.0,4.0,"Oxidation (M)",27302.889,"Serine/threonine protein kinase OS=Mycolicibacterium smegmatis OX=1772 GN=pknE_3 PE=4 SV=1"
1712,false,"L0IZZ4|L0IZZ4_9MYCO",48.06557,4.05,4.05,0.00,0.00,1,448.65305,,,1,1.0,,,"",23707.578,"HTH merR-type domain-containing protein OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_03264 PE=4 SV=1"
422,false,"L0IZM1|L0IZM1_9MYCO",123.91985,6.38,0.00,6.38,6.38,1,,654.5184,521.1258,1,,1.0,4.0,"Oxidation (M); Carbamidomethylation",31742.945,"ATP phosphoribosyltransferase OS=Mycobacterium sp. JS623 OX=212767 GN=hisG PE=3 SV=1"
73,true,"A0QUX8|ILVC_MYCS2",627.41943,68.25,67.95,68.25,67.95,31,1442686.4,1464415.2,1460504.2,31,253.0,282.0,274.0,"Oxidation (M); Carbamidomethylation",36421.406,"Ketol-acid reductoisomerase (NADP(+)) OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=ilvC PE=1 SV=1"
1440,false,"L0J4G7|L0J4G7_9MYCO",52.79636,3.48,3.48,3.48,3.48,1,770.5174,373.96973,,1,2.0,2.0,1.0,"",30323.035,"DNA-(apurinic or apyrimidinic site) lyase OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_05299 PE=3 SV=1"
1165,true,"A0QWS4|A0QWS4_MYCS2",223.08855,21.47,16.23,15.71,16.23,7,3350.8052,1956.3391,4109.194,7,6.0,5.0,10.0,"Oxidation (M)",40620.414,"Carbamoyl-phosphate synthase small chain OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=carA PE=3 SV=1"
370,true,"A0QT69|A0QT69_MYCS2",412.52194,43.31,43.31,40.98,42.89,16,82299.02,75457.42,77947.65,16,34.0,28.0,35.0,"Oxidation (M)",49067.258,"Dihydrolipoamide dehydrogenase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_1735 PE=3 SV=1"
1146,true,"A0A2U9PU16|A0A2U9PU16_MYCSE",244.6373,32.93,28.86,17.89,17.48,7,8712.566,8941.992,8174.843,7,14.0,6.0,12.0,"Oxidation (M)",25577.947,"D-beta-hydroxybutyrate dehydrogenase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_042700 PE=4 SV=1"
857,true,"I7G0G1|I7G0G1_MYCS2",230.16049,25.54,13.64,10.17,16.23,9,3676.107,4523.058,1614.3453,9,6.0,5.0,7.0,"Oxidation (M)",50620.023,"Zinc protease PepR OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_2594 PE=3 SV=1"
834,true,"A0A2U9PNP5|A0A2U9PNP5_MYCSE",332.61453,33.59,30.50,32.82,29.73,9,63800.145,65828.46,59235.848,9,25.0,19.0,22.0,"Carbamidomethylation",27649.564,"5-carboxymethyl-2-hydroxymuconate delta-isomerase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_023550 PE=4 SV=1"
1547,false,"A0R230|A0R230_MYCS2",203.1533,24.91,24.91,10.24,24.91,4,2090.394,,3112.9966,4,8.0,4.0,10.0,"",31357.76,"Luciferase-like domain-containing protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_4967 PE=4 SV=1"
5,false,"B2LWL4|B2LWL4_MYCSM",362.49075,53.07,53.07,53.07,53.07,9,,559.8114,310.9455,1,31.0,25.0,26.0,"Oxidation (M)",24613.932,"DNA-directed RNA polymerase (Fragment) OS=Mycolicibacterium smegmatis OX=1772 GN=rpoB PE=4 SV=1"
374,false,"A0A2U9PTK7|A0A2U9PTK7_MYCSE",369.84802,53.49,42.56,30.70,44.88,16,34488.76,28262.348,36277.395,16,25.0,24.0,24.0,"Oxidation (M); Carbamidomethylation",47469.035,"L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=mshC PE=3 SV=1"
125,true,"A0A8B4QK03|A0A8B4QK03_MYCSM",488.17007,52.63,47.04,49.34,50.82,29,109456.76,102613.92,96307.47,19,66.0,76.0,69.0,"Oxidation (M); Carbamidomethylation",67296.914,"Phosphoenolpyruvate carboxykinase [GTP] OS=Mycolicibacterium smegmatis OX=1772 GN=pckG PE=3 SV=1"
127,true,"A0A2U9PP09|A0A2U9PP09_MYCSE",388.08563,28.70,23.35,18.83,22.59,28,,,3067.5679,1,37.0,23.0,33.0,"Carbamidomethylation; Oxidation (M)",129702.95,"Chromosome partition protein Smc OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=smc PE=3 SV=1"
1560,true,"A0A653FK94|A0A653FK94_MYCSM",165.66364,9.61,4.94,3.74,7.88,5,744.7577,1080.0154,1905.9591,5,4.0,3.0,6.0,"",79450.28,"Glycoside hydrolase family 3 domain protein OS=Mycolicibacterium smegmatis OX=1772 GN=bglB_1 PE=3 SV=1"
1076,true,"A0A8B4QNI5|A0A8B4QNI5_MYCSM",240.08891,22.08,19.48,18.70,18.70,7,2301.0142,1191.3145,2227.806,7,8.0,10.0,7.0,"Oxidation (M)",41828.434,"Rv3651-like N-terminal domain-containing protein OS=Mycolicibacterium smegmatis OX=1772 GN=NCTC7017_02818 PE=4 SV=1"
2202,true,"A0A653FJR1|A0A653FJR1_MYCSM",115.958,7.44,7.44,3.28,3.28,2,404.81763,454.7013,635.5657,2,3.0,1.0,3.0,"Oxidation (M)",50428.812,"Glutamine synthetase OS=Mycolicibacterium smegmatis OX=1772 GN=glnA_6 PE=3 SV=1"
170,true,"A0QWS8|A0QWS8_MYCS2",447.14716,87.62,81.90,74.29,86.67,19,2087078.6,1847061.1,2076529.2,19,234.0,210.0,230.0,"Oxidation (M)",11635.559,"Integration host factor OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_3050 PE=4 SV=1"
38,false,"L0IZ03|L0IZ03_9MYCO",389.0898,11.98,9.44,11.98,11.98,11,139942.83,155441.64,156987.38,11,42.0,52.0,45.0,"Carbamidomethylation; Oxidation (M)",100123.46,"Glycine dehydrogenase (decarboxylating) OS=Mycobacterium sp. JS623 OX=212767 GN=gcvP PE=3 SV=1"
75,false,"Q7WVD9|Q7WVD9_MYCSM",502.41394,88.83,88.83,88.83,68.93,17,167811.45,178158.7,155021.08,17,67.0,68.0,67.0,"Carbamidomethylation; Oxidation (M)",21530.559,"Putative L-alanine dehydrogenase (Fragment) OS=Mycolicibacterium smegmatis OX=1772 GN=ald PE=3 SV=1"
131,true,"A0R3B8|ENO_MYCS2",571.44025,79.63,79.63,77.52,78.69,29,805781.94,782307.56,820102.06,29,150.0,144.0,143.0,"Oxidation (M)",44761.168,"Enolase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=eno PE=1 SV=1"
2717,true,"A0A653FKV9|A0A653FKV9_MYCSM",75.44606,8.45,8.45,0.00,8.45,1,,,1029.8297,1,1.0,,1.0,"",15414.922,"Transcriptional regulator SlyA OS=Mycolicibacterium smegmatis OX=1772 GN=BIN_B_04168 PE=4 SV=1"
437,true,"A0QUM6|A0QUM6_MYCS2",410.94595,42.72,42.72,42.72,42.72,14,128891.61,137105.73,125309.36,10,86.0,89.0,76.0,"Oxidation (M); Carbamidomethylation",35170.28,"Hydrogenase-2, small subunit OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=hybA PE=3 SV=1"
975,true,"A0QYB9|A0QYB9_MYCS2",289.69495,47.06,34.12,43.14,42.35,8,7455.5083,11886.881,10105.13,8,7.0,14.0,12.0,"Oxidation (M)",27155.555,"Sorbitol utilization protein SOU2 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_3604 PE=4 SV=1"
1727,true,"I7GA10|I7GA10_MYCS2",151.34053,17.18,12.60,17.18,17.18,4,4938.7783,5218.0493,5447.996,4,9.0,6.0,10.0,"",28063.977,"Uncharacterized protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_3513 PE=4 SV=1"
1136,true,"I7G1A1|I7G1A1_MYCS2",203.38982,34.17,0.00,16.30,34.17,7,,2870.7207,4440.057,7,,5.0,8.0,"Carbamidomethylation",34665.23,"O-ureido-D-serine cyclo-ligase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_3028 PE=4 SV=1"
2160,true,"A0A8B4QHY6|A0A8B4QHY6_MYCSM",119.15636,31.51,31.51,31.51,31.51,2,4420.6562,5520.384,7104.204,2,2.0,3.0,6.0,"",7668.0347,"DUF5652 domain-containing protein OS=Mycolicibacterium smegmatis OX=1772 GN=NCTC7017_00961 PE=4 SV=1"
662,true,"I7GFM2|I7GFM2_MYCS2",379.6427,34.59,32.70,33.78,31.89,12,147073.98,145566.42,144820.75,12,47.0,47.0,52.0,"Carbamidomethylation; Oxidation (M)",39324.457,"Phosphoserine aminotransferase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=serC PE=3 SV=1"
1583,true,"A0A8B4QKK2|A0A8B4QKK2_MYCSM",185.36447,25.97,16.02,14.92,20.44,4,391.35706,,78.589966,4,4.0,4.0,5.0,"Oxidation (M)",20578.35,"Putative transcriptional regulator OS=Mycolicibacterium smegmatis OX=1772 GN=NCTC7017_02104 PE=4 SV=1"
688,true,"A0A2U9PKY7|A0A2U9PKY7_MYCSE",353.42474,42.91,42.91,42.91,42.91,10,67187.46,66009.33,75685.875,10,31.0,38.0,37.0,"Oxidation (M)",30655.662,"Transcription termination/antitermination protein NusG OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=nusG PE=3 SV=1"
2305,true,"I7FZ56|I7FZ56_MYCS2",104.37914,2.65,0.00,1.55,1.10,2,,213.84984,,2,,1.0,1.0,"",117990.59,"DNA 3'-5' helicase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_1900 PE=1 SV=1"
1928,true,"I7FMX3|I7FMX3_MYCS2",153.62366,25.00,0.00,0.00,25.00,3,,,1015.64716,3,,,6.0,"Oxidation (M)",24905.857,"Phosphoglycerate mutase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_6249 PE=4 SV=1"
2825,true,"A0A2U9PLG1|A0A2U9PLG1_MYCSE",125.06134,7.39,0.00,7.39,0.00,1,,,,1,,2.0,,"Oxidation (M)",24052.586,"Cutinase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_015430 PE=3 SV=1"
1528,true,"A0QWQ5|YQGF_MYCS2",213.15172,38.24,27.65,5.88,32.35,5,2416.5798,793.9713,466.7845,5,5.0,3.0,3.0,"",18138.5,"Putative pre-16S rRNA nuclease OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_3026 PE=3 SV=1"
668,false,"A0A8B4R5H6|A0A8B4R5H6_MYCSM",252.35558,24.11,20.15,18.64,17.33,10,10124.368,8589.488,13005.236,10,17.0,15.0,18.0,"Oxidation (M); Carbamidomethylation",57073.445,"Thiamine pyrophosphate-requiring enzyme OS=Mycolicibacterium smegmatis OX=1772 GN=poxB_2 PE=3 SV=1"
1481,true,"A0QQZ4|A0QQZ4_MYCS2",241.96951,16.81,8.41,16.81,6.19,5,4523.7563,7456.0176,1316.5286,5,11.0,9.0,5.0,"Oxidation (M); Carbamidomethylation",48058.125,"ErfK/YbiS/YcfS/YnhG family protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_0929 PE=4 SV=1"
1125,true,"I7GG76|I7GG76_MYCS2",247.97086,33.97,27.40,33.97,27.40,7,12478.408,5885.676,8274.297,7,16.0,8.0,14.0,"Carbamidomethylation; Oxidation (M)",39723.465,"Cysteine synthase/cystathionine beta-synthase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_6042 PE=4 SV=1"
2277,true,"A0A8B4QFL3|A0A8B4QFL3_MYCSM",107.02902,65.75,17.81,65.75,17.81,2,22948.557,26756.393,22180.857,2,2.0,3.0,4.0,"",7719.7764,"Glutaredoxin-like protein OS=Mycolicibacterium smegmatis OX=1772 GN=NCTC7017_00231 PE=4 SV=1"
1984,true,"I7FGQ3|I7FGQ3_MYCS2",231.14612,26.56,21.35,0.00,26.56,3,335.88116,,1676.2753,3,4.0,,5.0,"Oxidation (M)",20625.512,"Alternative RNA polymerase sigma-D factor, SigD OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=sigD PE=3 SV=1"
119,true,"A0A653FAC7|A0A653FAC7_MYCSM",477.88492,51.77,49.00,41.78,47.31,28,155478.94,154153.72,125938.59,28,80.0,82.0,79.0,"Oxidation (M); Carbamidomethylation",71138.195,"Acetyl-coenzyme A synthetase OS=Mycolicibacterium smegmatis OX=1772 GN=acsA_1 PE=3 SV=1"
1190,true,"A0A653FGD6|A0A653FGD6_MYCSM",264.9468,32.07,20.70,17.78,21.57,7,3863.8042,6348.6846,7523.9194,7,10.0,5.0,5.0,"Carbamidomethylation",34844.824,"N-acetyl-gamma-glutamyl-phosphate reductase OS=Mycolicibacterium smegmatis OX=1772 GN=argC PE=3 SV=1"
1388,true,"I7G308|I7G308_MYCS2",148.50287,11.21,1.40,4.90,6.48,5,,1325.5508,2053.442,5,1.0,2.0,7.0,"Oxidation (M)",61678.652,"Fatty-acid-CoA ligase FadD8 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=fadD8 PE=4 SV=1"
2017,true,"A0A653FCH3|A0A653FCH3_MYCSM",123.03446,8.48,6.70,6.70,8.48,3,802.7821,1116.1224,1374.2759,2,3.0,3.0,8.0,"",46489.992,"4-aminobutyrate aminotransferase OS=Mycolicibacterium smegmatis OX=1772 GN=gabT_1 PE=3 SV=1"
515,false,"A0A2U9PVW7|A0A2U9PVW7_MYCSE",241.91843,14.37,10.92,14.37,12.64,9,5059.642,5700.5693,4323.205,9,15.0,13.0,17.0,"Oxidation (M)",73416.37,"Tetratricopeptide repeat family protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_049910 PE=4 SV=1"
2226,true,"A0R6P8|A0R6P8_MYCS2",77.747955,10.76,0.00,0.00,10.76,2,,,162.97513,2,,,2.0,"",24629.564,"Nitroreductase family protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_6627 PE=4 SV=1"
1813,false,"P0C563|RS12_MYCSM",93.473305,20.16,0.00,20.16,20.16,3,,20987.2,18061.602,3,,9.0,6.0,"",13863.264,"30S ribosomal protein S12 OS=Mycolicibacterium smegmatis OX=1772 GN=rpsL PE=3 SV=1"
1190,false,"L0IXR1|L0IXR1_9MYCO",88.052605,3.49,3.49,3.49,3.49,1,1426.9357,1937.5548,1980.6345,1,3.0,1.0,1.0,"",35257.17,"N-acetyl-gamma-glutamyl-phosphate reductase OS=Mycobacterium sp. JS623 OX=212767 GN=argC PE=3 SV=1"
2164,true,"Q9RPH6|Q9RPH6_MYCSM",78.85394,2.59,0.00,1.02,2.59,2,,,,2,,1.0,2.0,"",117443.11,"RecBCD enzyme subunit RecB OS=Mycolicibacterium smegmatis OX=1772 GN=recB PE=3 SV=1"
118,true,"Q7WYN1|METK_MYCSM",585.16876,88.47,88.47,74.69,77.69,29,291409.78,289127.9,300259.94,29,110.0,103.0,108.0,"Oxidation (M); Carbamidomethylation",42590.137,"S-adenosylmethionine synthase OS=Mycolicibacterium smegmatis OX=1772 GN=metK PE=3 SV=1"
1822,false,"A0A8B4QHN8|A0A8B4QHN8_MYCSM",116.75713,13.02,13.02,6.51,13.02,2,5402.3394,7468.039,3933.1123,2,6.0,5.0,3.0,"",18203.346,"Lsr2 protein OS=Mycolicibacterium smegmatis OX=1772 GN=lsr2_1 PE=4 SV=1"
2127,true,"A0R1Q0|A0R1Q0_MYCS2",66.933495,6.02,6.02,0.00,0.00,2,1318.5308,,,2,3.0,,,"",41749.65,"Acyl-CoA dehydrogenase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_4832 PE=3 SV=1"
1778,true,"I7FPG2|I7FPG2_MYCS2",193.13527,17.93,17.93,17.24,17.24,4,1125.8429,3800.0513,3078.897,4,3.0,8.0,4.0,"",16211.637,"Cyclase/dehydrase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_4151 PE=4 SV=1"
843,true,"A0A2U9Q003|A0A2U9Q003_MYCSE",284.49115,27.02,27.02,27.02,27.02,9,90477.96,62573.168,65767.48,9,23.0,24.0,24.0,"Oxidation (M)",50598.246,"Integral membrane protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_064490 PE=4 SV=1"
1232,false,"A0R0K4|A0R0K4_MYCS2",95.95934,5.29,5.29,5.29,5.29,1,7522.787,9836.955,7194.711,1,1.0,1.0,1.0,"",20876.682,"Peptide methionine sulfoxide reductase MsrA OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=msrA PE=3 SV=1"
1336,false,"A0A2U9PWM9|A0A2U9PWM9_MYCSE",79.301125,16.40,0.00,16.40,0.00,2,,,,2,,2.0,,"Oxidation (M)",26073.748,"Transmembrane protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_052460 PE=4 SV=1"
422,true,"I7FGJ5|I7FGJ5_MYCS2",323.87427,65.85,47.89,50.70,65.49,15,40485.44,42226.387,45808.363,15,16.0,20.0,31.0,"Oxidation (M); Carbamidomethylation",30339.477,"ATP phosphoribosyltransferase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=hisG PE=3 SV=1"
2495,true,"A0QX04|A0QX04_MYCS2",74.05427,11.50,11.50,11.50,11.50,1,1871.1224,1278.6874,1543.7745,1,1.0,1.0,3.0,"",12329.918,"Conserved protein, DUF59 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_3127 PE=4 SV=1"
1212,true,"I7GDQ4|I7GDQ4_MYCS2",257.89124,51.52,42.42,26.06,51.52,6,1402.4711,2482.6997,1180.3331,6,10.0,6.0,10.0,"Carbamidomethylation; Oxidation (M)",17574.305,"Sensor protein OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_4440 PE=4 SV=1"
2543,true,"A0A2U9PXS2|A0A2U9PXS2_MYCSE",66.355156,7.69,7.69,7.69,7.69,1,535.5946,527.9387,632.21,1,1.0,1.0,1.0,"",15503.839,"Regulatory protein, MarR OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_055780 PE=4 SV=1"
1284,false,"L0IUX6|L0IUX6_9MYCO",169.78877,12.98,12.98,0.00,9.12,4,5317.5205,,826.1692,4,5.0,,3.0,"",30881.379,"TIGR02569 family protein OS=Mycobacterium sp. JS623 OX=212767 GN=Mycsm_01441 PE=4 SV=1"
1735,false,"A0A2U9PVC7|A0A2U9PVC7_MYCSE",258.19,20.08,20.08,20.08,20.08,3,15771.384,16557.576,16013.031,3,10.0,17.0,16.0,"Oxidation (M); Carbamidomethylation",25588.996,"Ribonuclease PH OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=rph PE=3 SV=1"
1266,true,"I7FRU4|I7FRU4_MYCS2",220.17308,20.14,9.35,15.83,9.59,6,2920.0518,2625.5676,4515.6035,6,6.0,10.0,8.0,"",44988.28,"Exodeoxyribonuclease 7 large subunit OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=xseA PE=3 SV=1"
74,false,"A0A2U9PZJ2|A0A2U9PZJ2_MYCSE",622.60223,62.70,57.94,57.94,62.70,34,638411.44,619375.06,627129.2,34,195.0,199.0,193.0,"Carbamidomethylation",68286.766,"Acyl-CoA synthase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_062790 PE=4 SV=1"
1026,true,"A0A8B4R4K2|A0A8B4R4K2_MYCSM",351.0583,44.64,43.35,32.62,33.91,7,20990.998,21189.916,19575.879,7,25.0,18.0,23.0,"Oxidation (M)",24228.291,"Phosphonoacetaldehyde hydrolase OS=Mycolicibacterium smegmatis OX=1772 GN=phnX PE=4 SV=1"
2802,true,"A0A2U9PYF6|A0A2U9PYF6_MYCSE",37.340046,3.07,0.00,3.07,0.00,1,,335.72888,,1,,1.0,,"",36677.51,"Oxidoreductase, 2-nitropropane dioxygenase family protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_058830 PE=4 SV=1"
1820,false,"L0IQS9|L0IQS9_9MYCO",94.33686,4.38,4.38,4.38,4.38,1,755.33057,1020.88556,602.0527,1,2.0,2.0,3.0,"",34008.24,"o-succinylbenzoate synthase OS=Mycobacterium sp. JS623 OX=212767 GN=menC PE=3 SV=1"
1357,false,"A0A2U9PLE7|A0A2U9PLE7_MYCSE",202.29675,21.34,6.68,17.99,3.34,5,1726.5215,1992.6997,816.05756,5,2.0,4.0,2.0,"Oxidation (M)",40953.594,"Alanine racemase OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_015860 PE=3 SV=1"
1399,true,"I7G8W3|I7G8W3_MYCS2",230.94385,30.67,30.67,16.81,30.67,5,19647.064,5129.2007,8530.649,5,8.0,4.0,11.0,"Oxidation (M)",26110.113,"Branched-chain amino acid ABC transporter OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEI_3168 PE=4 SV=1"
2109,true,"A0A653FDA8|A0A653FDA8_MYCSM",146.35626,12.32,12.32,12.32,12.32,2,34210.01,38673.207,45436.75,2,8.0,7.0,7.0,"Oxidation (M)",22117.822,"Porin M1 OS=Mycolicibacterium smegmatis OX=1772 GN=mspA PE=4 SV=1"
747,false,"A0A2U9Q0I0|A0A2U9Q0I0_MYCSE",273.20755,36.36,36.36,36.36,33.33,9,19996.963,13376.185,16264.003,9,12.0,15.0,12.0,"Oxidation (M); Carbamidomethylation",35649.29,"Integral membrane protein OS=Mycolicibacterium smegmatis (strain MKD8) OX=1214915 GN=D806_066230 PE=4 SV=1"
1172,true,"A0QRE7|A0QRE7_MYCS2",202.23805,24.15,8.76,19.23,16.67,7,2140.1448,1445.6714,4960.9424,7,3.0,9.0,6.0,"Oxidation (M); Carbamidomethylation",49193.914,"Amidase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_1090 PE=4 SV=1"
319,true,"I7GBR5|I7GBR5_MYCS2",406.60007,50.10,46.03,39.85,46.03,18,88716.33,70263.06,87070.34,18,51.0,41.0,44.0,"Carbamidomethylation; Oxidation (M)",53469.773,"Probable cytosol aminopeptidase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=pepA PE=3 SV=1"
720,true,"A0QZ12|PPM1_MYCS2",348.20364,45.28,38.87,36.23,45.28,11,17316.305,10599.204,16192.674,11,15.0,15.0,15.0,"Oxidation (M)",29106.041,"Polyprenol monophosphomannose synthase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=ppm1 PE=1 SV=1"
