Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-1_S1-B6_1_6595.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-2_S1-C6_1_6596.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-3_S1-D6_1_6597.d
A0A2U9PRD6;A0A8B4R4N0;I7G1Q9	A0A2U9PRD6;A0A8B4R4N0;A0QXM8;I7G1Q9	A0A2U9PRD6_MYCSE;A0A8B4R4N0_MYCSM;I7G1Q9_MYCS2	D806_033650;MSMEI_3279;NCTC7017_05528	Cis-3-chloroacrylic acid dehalogenase, putative	47987.3	52203	57003
A0A2U9PRF2;A0A8B4R5C7;I7GB77	A0A2U9PRF2;A0A8B4R5C7;A0QXT1;I7GB77	A0A2U9PRF2_MYCSE;A0A8B4R5C7_MYCSM;I7GB77_MYCS2	D806_034170;MSMEI_3336;NCTC7017_05471	MarR-family protein regulatory protein	31718.3	32651.7	27981.8
A0A2U9PRF6;A0A8B4R6G5;A0QXT5;I7FM56	A0A2U9PRF6;A0A8B4R6G5;A0QXT5;I7FM56	A0A2U9PRF6_MYCSE;A0A8B4R6G5_MYCSM;A0QXT5_MYCS2;I7FM56_MYCS2	D806_034200;MSMEG_3419;MSMEI_3340;NCTC7017_05467	Ferritin-like domain-containing protein	4810.42	5029.45	4473.28
A0A2U9PRG2;A0A8B4R4H9;A0QXT4;I7G1V1	A0A2U9PRG2;A0A8B4R4H9;A0QXT4;I7G1V1	A0A2U9PRG2_MYCSE;A0A8B4R4H9_MYCSM;A0QXT4_MYCS2;I7G1V1_MYCS2	D806_034190;MSMEG_3418;MSMEI_3339;NCTC7017_05468	Polyketide cyclase / dehydrase and lipid transport	22330	19184.9	15828.8
A0A2U9PRG3;A0A8B4R7Q5;A0QWI5;I7GA07	A0A2U9PRG3;A0A8B4R7Q5;A0QWI5;I7GA07	A0A2U9PRG3_MYCSE;A0A8B4R7Q5_MYCSM;A0QWI5_MYCS2;I7GA07_MYCS2	D806_029210;MSMEG_2954;MSMEI_2880;ascG	LacI-family protein transcriptional regulator	12722.6	13740	14095.5
A0A2U9PRG6;A0A8B4R4K6;A0QXQ7;I7G1S8	A0A2U9PRG6;A0A8B4R4K6;A0QXQ7;I7G1S8	A0A2U9PRG6_MYCSE;A0A8B4R4K6_MYCSM;A0QXQ7_MYCS2;I7G1S8_MYCS2	D806_033950;MSMEG_3389;MSMEI_3309;ilvI	acetolactate synthase	3975.25	5053.55	5829.08
A0A2U9PRH5;A0A8B4R5I0;I7GB28	A0A2U9PRH5;A0A8B4R5I0;I7GB28	A0A2U9PRH5_MYCSE;A0A8B4R5I0_MYCSM;I7GB28_MYCS2	D806_033620;MSMEI_3276;ddn_3	Nitroreductase family deazaflavin-dependent oxidoreductase	14058.8	12736.4	16524.2
A0A2U9PRH7;A0A653FN53;A0QXV6;I7FM83	A0A2U9PRH7;A0A653FN53;A0QXV6;I7FM83	A0A2U9PRH7_MYCSE;A0A653FN53_MYCSM;A0QXV6_MYCS2;I7FM83_MYCS2	D806_034400;sdaA	L-serine dehydratase	58350.4	50204.3	55557.6
A0A2U9PRI2;A0A8B4R5B8;A0QXU1;I7GB87	A0A2U9PRI2;A0A8B4R5B8;A0QXU1;I7GB87	A0A2U9PRI2_MYCSE;A0A8B4R5B8_MYCSM;A0QXU1_MYCS2;I7GB87_MYCS2	D806_034280;MSMEG_3425;MSMEI_3346;ethR_7	TetR-family protein transcriptional regulator	14292.6	15243.1	17000.8
A0A2U9PRI6;A0A8B4R7F5;A0QXW5;I7G9J7	A0A2U9PRI6;A0A8B4R7F5;A0QXW5;I7G9J7	A0A2U9PRI6_MYCSE;A0A8B4R7F5_MYCSM;A0QXW5_MYCS2;I7G9J7_MYCS2	D806_034500;MSMEG_3449;MSMEI_3368;NCTC7017_05439	DNA-binding protein	12047.4	11173.5	12207
A0A2U9PRI7;A0A8B4R6Q4;A0QXN4;I7FM00	A0A2U9PRI7;A0A8B4R6Q4;A0QXN4;I7FM00	A0A2U9PRI7_MYCSE;A0A8B4R6Q4_MYCSM;A0QXN4_MYCS2;I7FM00_MYCS2	D806_033710;MSMEG_3365;MSMEI_3285;marA_3	Transcriptional regulator, AraC family protein	2906.61	2364.94	2353.78
A0A2U9PRI8;A0A8B4R6N0;A0QXM9;I7FLZ5	A0A2U9PRI8;A0A8B4R6N0;A0QXM9;I7FLZ5	A0A2U9PRI8_MYCSE;A0A8B4R6N0_MYCSM;A0QXM9_MYCS2;I7FLZ5_MYCS2	D806_033660;MSMEG_3360;MSMEI_3280;yxaF_4	Transcriptional regulator, putative	38269.4	42633.9	38399
A0A2U9PRJ1;A0A8B4R6G4;A0QXX3;I7GBB6	A0A2U9PRJ1;A0A8B4R6G4;A0QXX3;I7GBB6	A0A2U9PRJ1_MYCSE;A0A8B4R6G4_MYCSM;A0QXX3_MYCS2;I7GBB6_MYCS2	D806_034570;MSMEG_3457;MSMEI_3376;NCTC7017_05432	DoxD family protein/pyridine nucleotide-disulfide oxidoreductase	96644.4	87689.6	97554.6
A0A2U9PRJ2;A0A8B4R5G2;A0QXP4;I7GB43	A0A2U9PRJ2;A0A8B4R5G2;A0QXP4;I7GB43	A0A2U9PRJ2_MYCSE;A0A8B4R5G2_MYCSM;A0QXP4_MYCS2;I7GB43_MYCS2	D806_033820;MSMEG_3376;MSMEI_3296;ytnP_4	Beta-lactamase	17810.7	17191.8	17084.9
A0A2U9PRJ5	A0A2U9PRJ5	A0A2U9PRJ5_MYCSE	D806_034250	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding	2565.42	2233.57	3502.85
A0A2U9PRJ6;A0A8B4R6P6;A0QXP3;I7FM11	A0A2U9PRJ6;A0A8B4R6P6;A0QXP3;I7FM11	A0A2U9PRJ6_MYCSE;A0A8B4R6P6_MYCSM;A0QXP3_MYCS2;I7FM11_MYCS2	D806_033810;MSMEG_3375;MSMEI_3295;alkJ_6	Alcohol dehydrogenase	62121.6	61361.6	60533.9
A0A2U9PRK3;A0A653FPN1;A0QXY4;I7FEG4	A0A2U9PRK3;A0A653FPN1;A0QXY4;I7FEG4	A0A2U9PRK3_MYCSE;A0A653FPN1_MYCSM;A0QXY4_MYCS2;I7FEG4_MYCS2	BIN_B_05420;D806_034700;MSMEG_3467;MSMEI_3387	RNA-binding protein	4837.01	6431.21	6436.02
A0A2U9PRK4;A0A653FPD5;A0QXV0;I7FM75	A0A2U9PRK4;A0A653FPD5;A0QXV0;I7FM75	A0A2U9PRK4_MYCSE;A0A653FPD5_MYCSM;A0QXV0_MYCS2;I7FM75_MYCS2	D806_034350;MSMEG_3434;MSMEI_3355;fklB	Peptidyl-prolyl cis-trans isomerase	316475	355034	357998
A0A2U9PRL0;A0A8B4R5E4;A0QXR4;I7GB61	A0A2U9PRL0;A0A8B4R5E4;A0QXR4;I7GB61	A0A2U9PRL0_MYCSE;A0A8B4R5E4_MYCSM;A0QXR4_MYCS2;I7GB61_MYCS2	D806_034020;MSMEG_3396;MSMEI_3316;NCTC7017_05491	Transcriptional regulator, IclR family protein	89721.7	90193.9	97174.6
A0A2U9PRL5;A0A8B4R6E2;A0QXZ3;I7GBF9	A0A2U9PRL5;A0A8B4R6E2;A0QXZ3;I7GBF9	A0A2U9PRL5_MYCSE;A0A8B4R6E2_MYCSM;A0QXZ3_MYCS2;I7GBF9_MYCS2	D806_034790;MSMEG_3477;MSMEI_3396;ripB_1	Putative inv protein	154952	145409	143655
A0A2U9PRL8;A0A8B4R6Z8;A0QXX1;I7G1X7	A0A2U9PRL8;A0A8B4R6Z8;A0QXX1;I7G1X7	A0A2U9PRL8_MYCSE;A0A8B4R6Z8_MYCSM;A0QXX1_MYCS2;I7G1X7_MYCS2	D806_034550;MSMEI_3374;hslR	Heat shock protein 15	7494.81	11755.9	11324.6
A0A2U9PRM1;A0A8B4R5Z8;A0QXS3;I7FE65	A0A2U9PRM1;A0A8B4R5Z8;A0QXS3;I7FE65	A0A2U9PRM1_MYCSE;A0A8B4R5Z8_MYCSM;A0QXS3_MYCS2;I7FE65_MYCS2	D806_034120;MSMEG_3406;MSMEI_3327;NCTC7017_05480	Putative transcriptional regulator, TetR family protein	14790.1	16144.2	12941.4
A0A2U9PRM2;A0A8B4R8Q4;A0QWN4;I7FKZ9	A0A2U9PRM2;A0A8B4R8Q4;A0QWN4;I7FKZ9	A0A2U9PRM2_MYCSE;A0A8B4R8Q4_MYCSM;A0QWN4_MYCS2;I7FKZ9_MYCS2	D806_029710;MSMEG_3004;MSMEI_2929;ddn_4	Deazaflavin-dependent nitroreductase family protein	180834	187218	180977
A0A2U9PRM5;A0A8B4R6W2;A0QY01;I7G2Z2	A0A8B4R6W2;A0QY01;I7G2Z2;A0A2U9PRM5	A0A2U9PRM5_MYCSE;A0A8B4R6W2_MYCSM;A0QY01_MYCS2;I7G2Z2_MYCS2	D806_034870;MSMEG_3485;rpoE;rpoE_8	RNA polymerase sigma factor	34244.7	33425.9	31223.9
A0A2U9PRM8;A0A8B4R8P6;A0QWP4;I7FL09	A0A2U9PRM8;A0A8B4R8P6;A0QWP4;I7FL09	A0A2U9PRM8_MYCSE;A0A8B4R8P6_MYCSM;A0QWP4_MYCS2;I7FL09_MYCS2	D806_029810;MSMEG_3014;MSMEI_2939;NCTC7017_05861	MmcQ/YjbR family DNA-binding protein	34250.2	33672.9	33417.4
A0A2U9PRN0;A0A653FPL5;A0QY04;I7FEJ3	A0A2U9PRN0;A0A653FPL5;A0QY04;I7FEJ3	A0A2U9PRN0_MYCSE;A0A653FPL5_MYCSM;A0QY04_MYCS2;I7FEJ3_MYCS2	D806_034900;MSMEG_3488;MSMEI_3407;cdhR_5	Transcriptional regulator, AraC family protein	22933.3	19621.2	20386.2
A0A2U9PRN1;A0A653FMY9;A0QXY1;I7G1Y7	A0A2U9PRN1;A0A653FMY9;A0QXY1;I7G1Y7	A0A2U9PRN1_MYCSE;A0A653FMY9_MYCSM;A0QXY1_MYCS2;I7G1Y7_MYCS2	BIN_B_05423;D806_034650;MSMEG_3465;MSMEI_3384	Acyl-CoA synthase	237092	230757	227630
A0A2U9PRN8;A0A8B4R7C2;A0QXT9;I7G1V4	A0A2U9PRN8;A0A8B4R7C2;A0QXT9;I7G1V4	A0A2U9PRN8_MYCSE;A0A8B4R7C2_MYCSM;A0QXT9_MYCS2;I7G1V4_MYCS2	D806_034260;MSMEG_3423;MSMEI_3344;iclR_8	Putative IclR family protein regulator	11428.5	10049.6	8803.4
A0A2U9PRP0;A0A653FPI8;A0QXY9;I7FEH9	A0A2U9PRP0;A0A653FPI8;A0QXY9;I7FEH9	A0A2U9PRP0_MYCSE;A0A653FPI8_MYCSM;A0QXY9_MYCS2;I7FEH9_MYCS2	upp;upp_2	Uracil phosphoribosyltransferase	17917.2	18636.1	18899.3
A0A2U9PRP1;A0A8B4R8N5	A0A2U9PRP1;A0A8B4R8N5;A0QWQ3;I7FL15	A0A2U9PRP1_MYCSE;A0A8B4R8N5_MYCSM	D806_029910;NCTC7017_05851	NovD	88874.6	88971	84232.5
A0A2U9PRP8;A0A8B4R5B0;A0QXV1;I7GB97	A0A2U9PRP8;A0A8B4R5B0;A0QXV1;I7GB97	A0A2U9PRP8_MYCSE;A0A8B4R5B0_MYCSM;A0QXV1_MYCS2;I7GB97_MYCS2	D806_034360;MSMEG_3435;MSMEI_3356;NCTC7017_05451	ParD-like antitoxin of type II toxin-antitoxin system	13767.9	14973.8	15775
A0A2U9PRP9;A0A653FN30;A0QXV8;I7FEA8	A0A2U9PRP9;A0A653FN30;A0QXV8;I7FEA8	A0A2U9PRP9_MYCSE;A0A653FN30_MYCSM;A0QXV8_MYCS2;I7FEA8_MYCS2	D806_034420;MSMEG_3442;MSMEI_3362;pheC	Cyclohexadienyl dehydratase	31223.4	30340.3	30871.9
A0A2U9PRQ3;A0A8B4R4P0;A0QXZ9;I7FEI9	A0A2U9PRQ3;A0A8B4R4P0;A0QXZ9;I7FEI9	A0A2U9PRQ3_MYCSE;A0A8B4R4P0_MYCSM;A0QXZ9_MYCS2;I7FEI9_MYCS2	D806_034850;MSMEG_3483;MSMEI_3402;yiiM	Mosc domain protein	32334.5	36552.7	37405.1
A0A2U9PRQ6;A0A653FP37;A0QY29;I7G9U5	A0A2U9PRQ6;A0A653FP37;A0QY29;I7G9U5	A0A2U9PRQ6_MYCSE;A0A653FP37_MYCSM;A0QY29_MYCS2;I7G9U5_MYCS2	D806_035190;MSMEG_3513;eis;eis_2	Uncharacterized N-acetyltransferase D806_035190	50520.7	52211.6	54806.3
A0A2U9PRQ9;A0A8B4R6D2;A0QXW7;I7FM94	A0A2U9PRQ9;A0A8B4R6D2;A0QXW7;I7FM94	A0A2U9PRQ9_MYCSE;A0A8B4R6D2_MYCSM;A0QXW7_MYCS2;I7FM94_MYCS2	D806_034520;MSMEG_3451;MSMEI_3370;fabG_54	Short-chain dehydrogenase/reductase	70550.1	67315.9	63035.5
A0A2U9PRR2;A0A653FP85;A0QY30;I7G314	A0A2U9PRR2;A0A653FP85;A0QY30;I7G314	A0A2U9PRR2_MYCSE;A0A653FP85_MYCSM;A0QY30_MYCS2;I7G314_MYCS2	BIN_B_05847;D806_035200;MSMEG_3514;MSMEI_3434	Uncharacterized protein	202449	196464	213565
A0A2U9PRR3;A0A8B4R4N3;A0QY09;I7FEJ8	A0A2U9PRR3;A0A8B4R4N3;A0QY09;I7FEJ8	A0A2U9PRR3_MYCSE;A0A8B4R4N3_MYCSM;A0QY09_MYCS2;I7FEJ8_MYCS2	D806_034950;MSMEG_3493;MSMEI_3412;NCTC7017_05396	Putative secreted protein	81761.8	83766.9	92687.8
A0A2U9PRR4;A0A653FN28;A0QXY8;I7GBF1	A0A2U9PRR4;A0A653FN28;A0QXY8;I7GBF1	A0A2U9PRR4_MYCSE;A0A653FN28_MYCSM;A0QXY8_MYCS2;I7GBF1_MYCS2	BIN_B_05416;D806_034740;MSMEG_3472;MSMEI_3391	Uracil phosphoribosyltransferase	14306	13605.5	14937.3
A0A2U9PRS4;A0A8B4R5F5;A0QWT4;I7GAD3	A0A2U9PRS4;A0A8B4R5F5;A0QWT4;I7GAD3	A0A2U9PRS4_MYCSE;A0A8B4R5F5_MYCSM;A0QWT4_MYCS2;I7GAD3_MYCS2	D806_030210;MSMEG_3056;MSMEI_2980;metN_2	ABC transporter ATP-binding protein	21354.1	26227.8	26897.4
A0A2U9PRS7;A0A8B4R7D4;A0QXY6;I7G205	A0A2U9PRS7;A0A8B4R7D4;A0QXY6;I7G205	A0A2U9PRS7_MYCSE;A0A8B4R7D4_MYCSM;A0QXY6_MYCS2;I7G205_MYCS2	D806_034720;MSMEG_3470;MSMEI_3389;NCTC7017_05419	NAD-dependent epimerase/dehydratase	24578.6	27928.7	23507.4
A0A2U9PRS9;A0A8B4R497;A0QY49	A0A2U9PRS9;A0A8B4R497;A0QY49;I7G326	A0A2U9PRS9_MYCSE;A0A8B4R497_MYCSM;A0QY49_MYCS2	D806_035400;MSMEG_3534;NCTC7017_05357	4-hydroxybenzoyl-CoA thioesterase	40789.1	42205.1	41769.6
A0A2U9PRT1;A0A653FN04;A0QY08;I7GBH4	A0A2U9PRT1;A0A653FN04;A0QY08;I7GBH4	A0A2U9PRT1_MYCSE;A0A653FN04_MYCSM;A0QY08_MYCS2;I7GBH4_MYCS2	BIN_B_05396;D806_034940;MSMEG_3492;MSMEI_3411	Phosphodiesterase	72290.7	74564	70346.9
A0A2U9PRT3;A0A653FMU6;A0QY24;I7G9U1	A0A2U9PRT3;A0A653FMU6;A0QY24;I7G9U1	A0A2U9PRT3_MYCSE;A0A653FMU6_MYCSM;A0QY24_MYCS2;I7G9U1_MYCS2	D806_035150;MSMEG_3508;MSMEI_3428;pip_2	Hydrolase, alpha/beta hydrolase fold family protein	35252.5	32256.5	30456
A0A2U9PRT4;A0A653FHJ7;A0QY50;I7FMJ6	A0A2U9PRT4;A0A653FHJ7;A0QY50;I7FMJ6	A0A2U9PRT4_MYCSE;A0A653FHJ7_MYCSM;A0QY50_MYCS2;I7FMJ6_MYCS2	D806_035410;MSMEI_3455;speB	Agmatinase	27411.9	26596.5	31384.8
A0A2U9PRT5;A0A8B4R5E7;A0QWU4;I7GAE2	A0A2U9PRT5;A0A8B4R5E7;A0QWU4;I7GAE2	A0A2U9PRT5_MYCSE;A0A8B4R5E7_MYCSM;A0QWU4_MYCS2;I7GAE2_MYCS2	rpe	Ribulose-phosphate 3-epimerase	14746.4	15706.8	17144.6
A0A2U9PRT7;A0A653FNS8;A0QXZ6;I7G2Y8	A0A2U9PRT7;A0A653FNS8;A0QXZ6;I7G2Y8	A0A2U9PRT7_MYCSE;A0A653FNS8_MYCSM;A0QXZ6_MYCS2;I7G2Y8_MYCS2	BIN_B_05408;D806_034820;MSMEG_3480;MSMEI_3399	Streptomycin 6-kinase (Streptidine kinase) (Streptomycin6-phosphotransferase) (APH(6))	11298.9	15129.6	14073.1
A0A2U9PRT8	A0A2U9PRT8	A0A2U9PRT8_MYCSE	D806_035500	Chitin-binding protein	34992.5	36995	39593.2
A0A2U9PRU1;A0A653FMY4;A0QXY5;I7G9P6	A0A2U9PRU1;A0A653FMY4;A0QXY5;I7G9P6	A0A2U9PRU1_MYCSE;A0A653FMY4_MYCSM;A0QXY5_MYCS2;I7G9P6_MYCS2	BIN_B_05419;D806_034710;MSMEG_3469;MSMEI_3388	TetR family protein transcriptional regulator	6540.83	8569.24	8349.96
A0A2U9PRU4;A0A653FP57;A0QY35;I7FMI7	A0A2U9PRU4;A0A653FP57;A0QY35;I7FMI7	A0A2U9PRU4_MYCSE;A0A653FP57_MYCSM;A0QY35_MYCS2;I7FMI7_MYCS2	D806_035260;MSMEG_3520;MSMEI_3440;yxaF_2	TetR-family protein transcriptional regulator	3458.1	3908.24	2413.12
A0A2U9PRU5;A0A8B4R5D4;A0QWV4;I7FL67	A0A2U9PRU5;A0A8B4R5D4;A0QWV4;I7FL67	A0A2U9PRU5_MYCSE;A0A8B4R5D4_MYCSM;A0QWV4_MYCS2;I7FL67_MYCS2	D806_030410;ggt;ggtB	Glutathione hydrolase proenzyme	20877.6	21031.9	21701.8
A0A2U9PRU8;A0A653FMV3;A0QY23;I7FEK8	A0A2U9PRU8;A0A653FMV3;A0QY23;I7FEK8	A0A2U9PRU8_MYCSE;A0A653FMV3_MYCSM;A0QY23_MYCS2;I7FEK8_MYCS2	D806_035140;MSMEG_3507;MSMEI_3427;fda	Fructose-bisphosphate aldolase class 1	1.37837e+06	1.37532e+06	1.34425e+06
A0A2U9PRU9;A0A8B4R5U0;A0QXZ5;I7G9R3	A0A2U9PRU9;A0A8B4R5U0;A0QXZ5;I7G9R3	A0A2U9PRU9_MYCSE;A0A8B4R5U0_MYCSM;A0QXZ5_MYCS2;I7G9R3_MYCS2	tpx	Thiol peroxidase	2.48659e+06	2.47443e+06	2.46876e+06
A0A2U9PRV5;A0A8B4R5E1;A0QY10;I7G9S9	A0A2U9PRV5;A0A8B4R5E1;A0QY10;I7G9S9	A0A2U9PRV5_MYCSE;A0A8B4R5E1_MYCSM;A0QY10_MYCS2;I7G9S9_MYCS2	D806_034960;MSMEG_3494;MSMEI_3413;NCTC7017_05395	Putative secreted protein	92945.3	88047.5	95791.4
A0A2U9PRV7;A0A653FPR3;A0QY34;I7G316	A0A2U9PRV7;A0A653FPR3;A0QY34;I7G316;L0IZE5	A0A2U9PRV7_MYCSE;A0A653FPR3_MYCSM;A0QY34_MYCS2;I7G316_MYCS2	BIN_B_05852;D806_035250;MSMEG_3519;MSMEI_3439	Oxidoreductase, 2-nitropropane dioxygenase family protein	21630.6	22394	22264.3
A0A2U9PRV8;A0A8B4R5C4;A0QWW5;I7FL77;L0IYY0	A0A2U9PRV8;A0A8B4R5C4;A0QWW5;I7FL77;L0IYY0	A0A2U9PRV8_MYCSE;A0A8B4R5C4_MYCSM;A0QWW5_MYCS2;I7FL77_MYCS2;L0IYY0_9MYCO	D806_030510;Mycsm_02865;secG	Protein-export membrane protein SecG	5695.06	6197.32	6506.1
A0A2U9PRW0;A0A653FGG6;A0QY78;I7FEQ4	A0A2U9PRW0;A0A653FGG6;A0QY78;I7FEQ4	A0A2U9PRW0_MYCSE;A0A653FGG6_MYCSM;A0QY78_MYCS2;I7FEQ4_MYCS2	D806_035680;MSMEG_3563;MSMEI_3482;bmr3_2	Drug transporter	7505.75	8573.55	8363.9
A0A2U9PRW1;A0A8B4R5T1;A0QY05;I7G9S4	A0A2U9PRW1;A0A8B4R5T1;A0QY05;I7G9S4	A0A2U9PRW1_MYCSE;A0A8B4R5T1_MYCSM;A0QY05_MYCS2;I7G9S4_MYCS2	D806_034910;MSMEG_3489;MSMEI_3408;NCTC7017_05400	SGNH hydrolase-type esterase domain-containing protein	64250.7	57870.7	54425.1
A0A2U9PRW3;A0A8B4R745;A0QY79;I7G9Y1	A0A2U9PRW3;A0A8B4R745;A0QY79;I7G9Y1	A0A2U9PRW3_MYCSE;A0A8B4R745_MYCSM;A0QY79_MYCS2;I7G9Y1_MYCS2	D806_035690;bfr	Bacterioferritin	43586.2	45431.8	44584.2
A0A2U9PRW7;A0A8B4R4M5;A0QY21;I7FMH5	A0A2U9PRW7;A0A8B4R4M5;A0QY21;I7FMH5	A0A2U9PRW7_MYCSE;A0A8B4R4M5_MYCSM;A0QY21_MYCS2;I7FMH5_MYCS2	D806_035120;MSMEG_3505;MSMEI_3425;nylA_3	6-aminohexanoate-cyclic-dimer hydrolase	65449.1	71830.3	72464.6
A0A2U9PRW8;A0A653FPR8;A0A8B4R729;A0QY44;I7G323	A0A2U9PRW8;A0A653FPR8;A0A8B4R729;A0QY44;I7G323	A0A2U9PRW8_MYCSE;A0A653FPR8_MYCSM;A0A8B4R729_MYCSM;A0QY44_MYCS2;I7G323_MYCS2	D806_035350;MSMEG_3528;MSMEI_3449;NCTC7017_05362;lppS_6	ErfK/YbiS/YcfS/YnhG family protein	46763.3	44638.6	44098.2
A0A2U9PRY6;A0A653FA19;A0QWZ6;I7GAI5	A0A2U9PRY6;A0A653FA19;A0QWZ6;I7GAI5	A0A2U9PRY6_MYCSE;A0A653FA19_MYCSM;A0QWZ6_MYCS2;I7GAI5_MYCS2	D806_030810;MSMEG_3119;MSMEI_3040;drrA_2	ABC transporter, ATP-binding subunit	270030	264229	261200
A0A2U9PRY7;A0A653FHG5;A0QYA7;I7FMP5	A0A2U9PRY7;A0A653FHG5;A0QYA7;I7FMP5	A0A2U9PRY7_MYCSE;A0A653FHG5_MYCSM;A0QYA7_MYCS2;I7FMP5_MYCS2	BIN_B_02858;D806_036000;MSMEG_3592;MSMEI_3510	Secreted protein	44418.3	45628.9	41450
A0A2U9PRZ7;A0A8B4R646;A0QY87;I7FMM8	A0A2U9PRZ7;A0A8B4R646;A0QY87;I7FMM8	A0A2U9PRZ7_MYCSE;A0A8B4R646_MYCSM;A0QY87_MYCS2;I7FMM8_MYCS2	D806_035760;MSMEG_3572;MSMEI_3490;NCTC7017_05321	Transcriptional regulator, TetR family protein	13067.9	14200.7	15055.2
A0A2U9PS01;A0A653FHF5;A0QYB9;I7FMQ2	A0A2U9PS01;A0A653FHF5;A0QYB9;I7FMQ2	A0A2U9PS01_MYCSE;A0A653FHF5_MYCSM;A0QYB9_MYCS2;I7FMQ2_MYCS2	D806_036100;MSMEG_3604;MSMEI_3520;gno_2	Sorbitol utilization protein SOU2	84993.9	86612.2	87634.9
A0A2U9PS03;A0A653FHC4;A0QYB8;I7G371	A0A2U9PS03;A0A653FHC4;A0QYB8;I7G371	A0A2U9PS03_MYCSE;A0A653FHC4_MYCSM;A0QYB8_MYCS2;I7G371_MYCS2	D806_036090;MSMEG_3603;MSMEI_3519;yjjN	Oxidoreductase, zinc-binding dehydrogenase family protein	37703	35105.3	35616.2
A0A2U9PS07;A0A653FHF3;A0QY86	A0A2U9PS07;A0A653FHF3;A0QY86;I7G349	A0A2U9PS07_MYCSE;A0A653FHF3_MYCSM;A0QY86_MYCS2	BIN_B_02879;D806_035750;MSMEG_3571	Thioesterase family protein	22108	22791	24138.8
A0A2U9PS08;A0A2U9PTH7;A0A8B4QPF5;A0A8B4R990;A0QW49;A0R4N0;I7G0P2;I7GF20	A0A2U9PS08;A0A2U9PTH7;A0A8B4QPF5;A0A8B4R990;A0QW49;A0R4N0;I7G0P2;I7GF20	A0A2U9PS08_MYCSE;A0A2U9PTH7_MYCSE;A0A8B4QPF5_MYCSM;A0A8B4R990_MYCSM;A0QW49_MYCS2;A0R4N0_MYCS2;I7G0P2_MYCS2;I7GF20_MYCS2	D806_035030;D806_040720;MSMEG_2805;MSMEG_5891;MSMEI_2734;MSMEI_5732;NCTC7017_03086;NCTC7017_06067	ISMsm5, transposase	22096.5	23476	23040.1
A0A2U9PS15;A0A653FFU0;A0QY67;I7GBM3	A0A2U9PS15;A0A653FFU0;A0QY67;I7GBM3	A0A2U9PS15_MYCSE;A0A653FFU0_MYCSM;A0QY67_MYCS2;I7GBM3_MYCS2	BIN_B_02897;D806_035570;MSMEG_3552;MSMEI_3471	PucR C-terminal helix-turn-helix domain-containing protein	9422.09	10293.8	10457.8
A0A2U9PS16;A0A653FHE3;A0QY96;I7FMN5	A0A2U9PS16;A0A653FHE3;A0QY96;I7FMN5	A0A2U9PS16_MYCSE;A0A653FHE3_MYCSM;A0QY96_MYCS2;I7FMN5_MYCS2	BIN_B_02869;D806_035850;MSMEG_3581;MSMEI_3500	FabG protein	8276.33	11290.1	10058.7
A0A2U9PS17;A0A8B4R6I4;A0QYD8;I7GA30	A0A2U9PS17;A0A8B4R6I4;A0QYD8;I7GA30;L0IWU5	A0A2U9PS17_MYCSE;A0A8B4R6I4_MYCSM;A0QYD8_MYCS2;I7GA30_MYCS2	ureG;ureG_2	Urease accessory protein UreG	95752.2	89906.5	86124.7
A0A2U9PS19;A0A8B4R4U2;A0QYE1	A0A2U9PS19;A0A8B4R4U2;A0QYE1;I7GBS1	A0A2U9PS19_MYCSE;A0A8B4R4U2_MYCSM;A0QYE1_MYCS2	ureB	Urease subunit beta	80110.5	83632.8	80675
A0A2U9PS34;A0A653FFS2;A0QY83;I7GBN5	A0A2U9PS34;A0A653FFS2;A0QY83;I7GBN5	A0A2U9PS34_MYCSE;A0A653FFS2_MYCSM;A0QY83_MYCS2;I7GBN5_MYCS2	D806_035720;MSMEG_3567;MSMEI_3486;echA8_8	Enoyl-CoA hydratase	25332.1	26524.9	32022.5
A0A2U9PS37;A0A8B4R6S3;A0QYF9;I7GA51	A0A2U9PS37;A0A8B4R6S3;A0QYF9;I7GA51;L0IZZ4	A0A2U9PS37_MYCSE;A0A8B4R6S3_MYCSM;A0QYF9_MYCS2;I7GA51_MYCS2	D806_036480;MSMEG_3644;MSMEI_3558;NCTC7017_05251	Transcriptional regulator, MerR family protein	108974	110912	105787
A0A2U9PS39;A0A653FFN1;A0QYC6;I7GBR0	A0A653FFN1;A0QYC6;A0A2U9PS39;I7GBR0	A0A2U9PS39_MYCSE;A0A653FFN1_MYCSM;A0QYC6_MYCS2;I7GBR0_MYCS2	D806_036160;MSMEI_3526;xfp;xpkA	Probable phosphoketolase	16631.1	20618.1	19437
